order_id,delivery_status,actual_ship_days,scheduled_ship_days,shipping_mode
77202,Advance shipping,3,4,Standard Class
75939,Late delivery,5,4,Standard Class
75938,Shipping on time,4,4,Standard Class
75937,Advance shipping,3,4,Standard Class
75936,Advance shipping,2,4,Standard Class
75935,Shipping canceled,6,4,Standard Class
75934,Late delivery,2,1,First Class
75933,Late delivery,2,1,First Class
75932,Late delivery,3,2,Second Class
75931,Late delivery,2,1,First Class
75930,Shipping canceled,6,2,Second Class
75929,Late delivery,5,2,Second Class
75928,Late delivery,4,2,Second Class
75927,Late delivery,2,1,First Class
75926,Late delivery,2,1,First Class
75925,Late delivery,2,1,First Class
75924,Late delivery,5,2,Second Class
75923,Late delivery,2,1,First Class
75922,Late delivery,2,1,First Class
75921,Shipping on time,0,0,Same Day
75920,Shipping on time,0,0,Same Day
75919,Late delivery,5,4,Standard Class
75918,Late delivery,4,2,Second Class
75917,Shipping canceled,3,2,Second Class
75916,Shipping canceled,2,2,Second Class
75915,Late delivery,6,2,Second Class
75914,Late delivery,5,2,Second Class
75913,Shipping on time,4,4,Standard Class
75912,Advance shipping,3,4,Standard Class
75911,Advance shipping,2,4,Standard Class
75910,Late delivery,6,4,Standard Class
75909,Late delivery,5,4,Standard Class
75908,Shipping on time,4,4,Standard Class
75907,Late delivery,2,1,First Class
75906,Late delivery,2,1,First Class
75905,Late delivery,2,1,First Class
75904,Late delivery,2,1,First Class
75903,Late delivery,2,1,First Class
75902,Late delivery,1,0,Same Day
75901,Shipping canceled,1,0,Same Day
75900,Late delivery,1,0,Same Day
75899,Late delivery,1,0,Same Day
75898,Shipping on time,4,4,Standard Class
75897,Advance shipping,3,4,Standard Class
75896,Advance shipping,2,4,Standard Class
75895,Late delivery,6,4,Standard Class
75894,Late delivery,5,2,Second Class
75893,Shipping on time,4,4,Standard Class
28744,Late delivery,5,2,Second Class
45461,Shipping on time,2,2,Second Class
31115,Late delivery,6,2,Second Class
45766,Shipping on time,2,2,Second Class
47752,Late delivery,3,2,Second Class
50054,Late delivery,5,2,Second Class
20365,Late delivery,6,2,Second Class
36146,Shipping on time,2,2,Second Class
41234,Late delivery,5,2,Second Class
32090,Late delivery,6,2,Second Class
34773,Late delivery,4,2,Second Class
44046,Shipping on time,2,2,Second Class
46414,Late delivery,5,2,Second Class
46599,Late delivery,5,2,Second Class
48434,Late delivery,5,2,Second Class
12827,Late delivery,3,2,Second Class
63936,Shipping on time,2,2,Second Class
65030,Late delivery,6,2,Second Class
18108,Late delivery,4,2,Second Class
62571,Shipping on time,2,2,Second Class
17162,Late delivery,3,2,Second Class
65922,Late delivery,3,2,Second Class
63936,Shipping on time,2,2,Second Class
64813,Late delivery,4,2,Second Class
67892,Late delivery,3,2,Second Class
12525,Late delivery,6,2,Second Class
5895,Late delivery,6,2,Second Class
56359,Late delivery,5,2,Second Class
58613,Late delivery,4,2,Second Class
7824,Late delivery,5,2,Second Class
7814,Late delivery,5,2,Second Class
7814,Late delivery,5,2,Second Class
60807,Late delivery,3,2,Second Class
53413,Late delivery,4,2,Second Class
7888,Late delivery,4,2,Second Class
6783,Late delivery,4,2,Second Class
56973,Late delivery,4,2,Second Class
7824,Late delivery,5,2,Second Class
55155,Late delivery,6,2,Second Class
5991,Shipping on time,2,2,Second Class
2263,Late delivery,4,2,Second Class
2263,Late delivery,4,2,Second Class
53403,Late delivery,4,2,Second Class
51298,Late delivery,4,2,Second Class
4919,Late delivery,5,4,Standard Class
52640,Late delivery,6,4,Standard Class
6358,Shipping on time,4,4,Standard Class
57106,Advance shipping,2,4,Standard Class
6245,Late delivery,6,4,Standard Class
52166,Advance shipping,2,4,Standard Class
56172,Advance shipping,3,4,Standard Class
55829,Late delivery,5,4,Standard Class
52478,Shipping on time,4,4,Standard Class
57242,Advance shipping,3,4,Standard Class
3137,Advance shipping,3,4,Standard Class
60127,Advance shipping,3,4,Standard Class
3828,Shipping on time,4,4,Standard Class
60386,Advance shipping,2,4,Standard Class
973,Shipping on time,4,4,Standard Class
57999,Late delivery,5,4,Standard Class
54585,Late delivery,6,4,Standard Class
57598,Shipping on time,4,4,Standard Class
54274,Late delivery,5,4,Standard Class
60673,Shipping on time,4,4,Standard Class
59387,Advance shipping,3,4,Standard Class
52640,Late delivery,6,4,Standard Class
10007,Advance shipping,3,4,Standard Class
55984,Late delivery,5,4,Standard Class
52478,Shipping on time,4,4,Standard Class
58375,Late delivery,6,4,Standard Class
56448,Shipping on time,4,4,Standard Class
8221,Advance shipping,2,4,Standard Class
58034,Late delivery,5,4,Standard Class
2203,Shipping on time,4,4,Standard Class
53069,Late delivery,5,4,Standard Class
60146,Advance shipping,2,4,Standard Class
55409,Late delivery,5,4,Standard Class
8678,Shipping on time,4,4,Standard Class
7980,Late delivery,6,4,Standard Class
57185,Late delivery,6,4,Standard Class
8636,Advance shipping,2,4,Standard Class
61192,Advance shipping,3,4,Standard Class
55876,Advance shipping,2,4,Standard Class
53331,Advance shipping,2,4,Standard Class
51725,Late delivery,6,4,Standard Class
52562,Advance shipping,3,4,Standard Class
59754,Late delivery,5,4,Standard Class
53574,Late delivery,5,4,Standard Class
399,Late delivery,5,4,Standard Class
51050,Late delivery,6,2,Second Class
45680,Late delivery,6,2,Second Class
42992,Late delivery,3,2,Second Class
41304,Late delivery,5,2,Second Class
45680,Late delivery,6,2,Second Class
44253,Late delivery,4,2,Second Class
46098,Late delivery,4,2,Second Class
41304,Late delivery,5,2,Second Class
71077,Late delivery,3,2,Second Class
69703,Late delivery,4,2,Second Class
71112,Late delivery,3,2,Second Class
69810,Late delivery,6,2,Second Class
71092,Late delivery,3,2,Second Class
69610,Late delivery,6,2,Second Class
71000,Late delivery,6,2,Second Class
70734,Late delivery,5,2,Second Class
69626,Shipping on time,2,2,Second Class
69482,Late delivery,3,2,Second Class
70769,Late delivery,5,2,Second Class
69643,Late delivery,4,2,Second Class
71051,Shipping on time,2,2,Second Class
69408,Late delivery,4,2,Second Class
71123,Late delivery,4,2,Second Class
70534,Late delivery,5,2,Second Class
69641,Shipping on time,2,2,Second Class
70960,Late delivery,6,2,Second Class
69908,Late delivery,4,2,Second Class
70957,Late delivery,3,2,Second Class
69637,Late delivery,3,2,Second Class
70955,Late delivery,6,2,Second Class
70919,Late delivery,5,2,Second Class
71009,Late delivery,5,2,Second Class
69653,Late delivery,4,2,Second Class
69527,Late delivery,3,2,Second Class
71080,Late delivery,6,2,Second Class
70544,Late delivery,5,2,Second Class
69471,Shipping on time,2,2,Second Class
68879,Late delivery,5,2,Second Class
67214,Late delivery,5,2,Second Class
17810,Late delivery,6,2,Second Class
18793,Late delivery,4,2,Second Class
65109,Late delivery,5,2,Second Class
15673,Late delivery,4,2,Second Class
18183,Late delivery,4,2,Second Class
20234,Late delivery,5,2,Second Class
13139,Late delivery,5,2,Second Class
33824,Shipping canceled,5,4,Standard Class
31364,Shipping canceled,5,4,Standard Class
40495,Shipping canceled,6,4,Standard Class
31364,Shipping canceled,5,4,Standard Class
34506,Shipping canceled,2,4,Standard Class
33607,Shipping canceled,3,4,Standard Class
32617,Shipping canceled,3,4,Standard Class
37496,Shipping canceled,2,4,Standard Class
32617,Shipping canceled,3,4,Standard Class
49075,Shipping canceled,6,4,Standard Class
33824,Shipping canceled,5,4,Standard Class
49075,Shipping canceled,6,4,Standard Class
41623,Shipping canceled,4,4,Standard Class
39271,Shipping canceled,2,4,Standard Class
38598,Shipping canceled,4,4,Standard Class
37845,Shipping canceled,6,4,Standard Class
42331,Shipping canceled,2,4,Standard Class
41345,Shipping canceled,6,4,Standard Class
51168,Shipping canceled,4,4,Standard Class
51168,Shipping canceled,4,4,Standard Class
43599,Shipping canceled,5,4,Standard Class
41901,Shipping canceled,2,4,Standard Class
42751,Advance shipping,2,4,Standard Class
45088,Shipping on time,4,4,Standard Class
50489,Late delivery,5,4,Standard Class
44409,Late delivery,5,4,Standard Class
42101,Advance shipping,2,4,Standard Class
50424,Late delivery,5,4,Standard Class
49825,Late delivery,6,4,Standard Class
41294,Late delivery,5,4,Standard Class
42023,Shipping on time,4,4,Standard Class
47774,Late delivery,5,4,Standard Class
41827,Advance shipping,3,4,Standard Class
47193,Shipping on time,4,4,Standard Class
42626,Advance shipping,2,4,Standard Class
46199,Late delivery,5,4,Standard Class
48468,Shipping on time,4,4,Standard Class
51009,Late delivery,5,4,Standard Class
46229,Late delivery,5,4,Standard Class
42882,Advance shipping,3,4,Standard Class
46827,Advance shipping,3,4,Standard Class
48684,Late delivery,5,4,Standard Class
48684,Late delivery,5,4,Standard Class
46416,Advance shipping,2,4,Standard Class
47343,Shipping on time,4,4,Standard Class
41686,Advance shipping,2,4,Standard Class
41896,Advance shipping,2,4,Standard Class
28168,Shipping on time,4,4,Standard Class
24992,Advance shipping,3,4,Standard Class
30851,Advance shipping,2,4,Standard Class
25074,Late delivery,5,4,Standard Class
76870,Late delivery,6,4,Standard Class
25163,Shipping on time,4,4,Standard Class
28036,Advance shipping,2,4,Standard Class
22679,Late delivery,5,4,Standard Class
23610,Late delivery,6,4,Standard Class
42828,Shipping on time,4,4,Standard Class
41896,Advance shipping,2,4,Standard Class
48713,Shipping on time,4,4,Standard Class
45668,Shipping on time,4,4,Standard Class
74796,Advance shipping,2,4,Standard Class
27918,Shipping on time,4,4,Standard Class
30097,Advance shipping,3,4,Standard Class
30966,Advance shipping,2,4,Standard Class
30063,Shipping on time,4,4,Standard Class
22019,Late delivery,5,4,Standard Class
24230,Late delivery,6,4,Standard Class
48713,Shipping on time,4,4,Standard Class
42353,Shipping on time,4,4,Standard Class
45668,Shipping on time,4,4,Standard Class
42134,Late delivery,5,4,Standard Class
21522,Advance shipping,3,4,Standard Class
23767,Advance shipping,3,4,Standard Class
25433,Shipping on time,4,4,Standard Class
73893,Shipping on time,4,4,Standard Class
30085,Late delivery,6,4,Standard Class
30172,Advance shipping,3,4,Standard Class
27478,Shipping on time,4,4,Standard Class
76976,Advance shipping,2,4,Standard Class
24063,Shipping on time,4,4,Standard Class
51209,Late delivery,5,4,Standard Class
73839,Late delivery,5,4,Standard Class
74723,Shipping on time,4,4,Standard Class
26821,Advance shipping,2,4,Standard Class
77102,Advance shipping,3,4,Standard Class
41608,Shipping on time,4,4,Standard Class
47009,Late delivery,5,4,Standard Class
49916,Advance shipping,2,4,Standard Class
29746,Advance shipping,2,4,Standard Class
