Product Card Id,Category Name,Order Item Quantity,Order Item Product Price
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
1360,Sporting Goods,1,327.75
365,Cleats,2,59.99000168
627,Shop By Sport,2,39.99000168
502,Women's Apparel,2,50
627,Shop By Sport,2,39.99000168
502,Women's Apparel,2,50
502,Women's Apparel,2,50
502,Women's Apparel,2,50
278,Electronics,2,44.99000168
249,Boxing & MMA,2,54.97000122
365,Cleats,2,59.99000168
365,Cleats,2,59.99000168
191,Cardio Equipment,3,99.98999786
627,Shop By Sport,3,39.99000168
917,Trade-In,3,21.98999977
828,Electronics,3,31.98999977
191,Cardio Equipment,3,99.98999786
191,Cardio Equipment,3,99.98999786
191,Cardio Equipment,3,99.98999786
